original,gentle,playful,bold,id,scenario
"Um, I should go",I should go... but I'd really love to continue this conversation sometime,"I should go, but my feet seem to be rebelling. I think they like standing next to you",I should go... unless you give me a really good reason to stay,flirt_0650,chance meeting
"Honestly, I should go",I should go... but I'd really love to continue this conversation sometime,"I should go, but my feet seem to be rebelling. I think they like standing next to you",I should go... unless you give me a really good reason to stay,flirt_0651,transportation
"Hey, It was nice meeting you",It was lovely meeting you... I hope it's not the last time,Nice meeting you! Fair warning: you're going to be stuck in my head all day,Nice meeting you... now let's make plans to meet again,flirt_0652,cultural venue
"So, It was nice meeting you",It was lovely meeting you... I hope it's not the last time,Nice meeting you! Fair warning: you're going to be stuck in my head all day,Nice meeting you... now let's make plans to meet again,flirt_0653,entertainment venue
"Actually, It was nice meeting you",It was lovely meeting you... I hope it's not the last time,Nice meeting you! Fair warning: you're going to be stuck in my head all day,Nice meeting you... now let's make plans to meet again,flirt_0654,shared activity
"Oh, It was nice meeting you",It was lovely meeting you... I hope it's not the last time,Nice meeting you! Fair warning: you're going to be stuck in my head all day,Nice meeting you... now let's make plans to meet again,flirt_0655,quiet moment
"Well, It was nice meeting you",It was lovely meeting you... I hope it's not the last time,Nice meeting you! Fair warning: you're going to be stuck in my head all day,Nice meeting you... now let's make plans to meet again,flirt_0656,cultural venue
"Um, It was nice meeting you",It was lovely meeting you... I hope it's not the last time,Nice meeting you! Fair warning: you're going to be stuck in my head all day,Nice meeting you... now let's make plans to meet again,flirt_0657,celebration
"Honestly, It was nice meeting you",It was lovely meeting you... I hope it's not the last time,Nice meeting you! Fair warning: you're going to be stuck in my head all day,Nice meeting you... now let's make plans to meet again,flirt_0658,learning environment
"Hey, Maybe I'll see you around",I really hope I see you around... preferably on purpose next time,Maybe? Let's upgrade that to definitely and exchange numbers,Forget maybe - give me your number and make it a certainty,flirt_0659,chance meeting
"So, Maybe I'll see you around",I really hope I see you around... preferably on purpose next time,Maybe? Let's upgrade that to definitely and exchange numbers,Forget maybe - give me your number and make it a certainty,flirt_0660,intimate setting
"Actually, Maybe I'll see you around",I really hope I see you around... preferably on purpose next time,Maybe? Let's upgrade that to definitely and exchange numbers,Forget maybe - give me your number and make it a certainty,flirt_0661,cultural venue
"Oh, Maybe I'll see you around",I really hope I see you around... preferably on purpose next time,Maybe? Let's upgrade that to definitely and exchange numbers,Forget maybe - give me your number and make it a certainty,flirt_0662,evening out
"Well, Maybe I'll see you around",I really hope I see you around... preferably on purpose next time,Maybe? Let's upgrade that to definitely and exchange numbers,Forget maybe - give me your number and make it a certainty,flirt_0663,friendly encounter
"Um, Maybe I'll see you around",I really hope I see you around... preferably on purpose next time,Maybe? Let's upgrade that to definitely and exchange numbers,Forget maybe - give me your number and make it a certainty,flirt_0664,relaxed atmosphere
"Honestly, Maybe I'll see you around",I really hope I see you around... preferably on purpose next time,Maybe? Let's upgrade that to definitely and exchange numbers,Forget maybe - give me your number and make it a certainty,flirt_0665,shared activity
"Hey, Beautiful day",Beautiful day... though not as beautiful as you,"Beautiful day! Perfect weather for falling in love, don't you think?",Beautiful day to meet someone gorgeous... mission accomplished,flirt_0666,waiting situation
"So, Beautiful day",Beautiful day... though not as beautiful as you,"Beautiful day! Perfect weather for falling in love, don't you think?",Beautiful day to meet someone gorgeous... mission accomplished,flirt_0667,shopping area
"Actually, Beautiful day",Beautiful day... though not as beautiful as you,"Beautiful day! Perfect weather for falling in love, don't you think?",Beautiful day to meet someone gorgeous... mission accomplished,flirt_0668,outdoor setting
"Oh, Beautiful day",Beautiful day... though not as beautiful as you,"Beautiful day! Perfect weather for falling in love, don't you think?",Beautiful day to meet someone gorgeous... mission accomplished,flirt_0669,shared activity
"Well, Beautiful day",Beautiful day... though not as beautiful as you,"Beautiful day! Perfect weather for falling in love, don't you think?",Beautiful day to meet someone gorgeous... mission accomplished,flirt_0670,shared activity
"Um, Beautiful day",Beautiful day... though not as beautiful as you,"Beautiful day! Perfect weather for falling in love, don't you think?",Beautiful day to meet someone gorgeous... mission accomplished,flirt_0671,night scene
"Honestly, Beautiful day",Beautiful day... though not as beautiful as you,"Beautiful day! Perfect weather for falling in love, don't you think?",Beautiful day to meet someone gorgeous... mission accomplished,flirt_0672,recreational setting
"Hey, Nice tan",You have a lovely tan... you must spend time enjoying life outdoors,Nice tan! Did you get that from being this hot?,Nice tan... I'd love to see more of it,flirt_0673,waiting situation
